Order_ID,Customer_ID,Date,Age,Gender,City,Product_Category,Quantity,Payment_Method,Device_Type,Session_Duration_Minutes,Pages_Viewed,Is_Returning_Customer,Delivery_Time_Days,Customer_Rating,Unit_Price,Discount_Amount,Total_Amount
ORD_000001-1,CUST_00001,5/29/2023,40,Male,Los Angeles,Books,1,Digital Wallet,Mobile,14,9,TRUE,13,4,1.02,0,1.02
ORD_000001-2,CUST_00001,10/12/2023,40,Male,Los Angeles,Home & Garden,1,Credit Card,Desktop,14,8,TRUE,6,2,22.55,4.83,17.72
ORD_000001-3,CUST_00001,12/5/2023,40,Male,Los Angeles,Sports,5,Credit Card,Mobile,15,10,TRUE,9,4,11.65,0,58.24
ORD_000002-1,CUST_00002,5/11/2023,33,Male,New York,Food,5,Digital Wallet,Desktop,16,13,TRUE,4,4,2.43,2.49,9.64
ORD_000002-2,CUST_00002,6/16/2023,33,Male,New York,Beauty,3,Credit Card,Mobile,14,7,TRUE,6,4,6.24,0,18.71
ORD_000003-1,CUST_00003,2/27/2023,42,Male,San Diego,Toys,2,Credit Card,Tablet,10,9,FALSE,6,2,6.94,0,13.88
ORD_000003-2,CUST_00003,1/3/2024,42,Male,San Diego,Home & Garden,5,Digital Wallet,Desktop,11,8,TRUE,6,5,18.44,0,92.2
ORD_000004-1,CUST_00004,2/13/2024,53,Male,Chicago,Fashion,5,Credit Card,Desktop,16,15,FALSE,4,5,3.37,3.42,13.41
ORD_000005-1,CUST_00005,3/16/2023,32,Male,Los Angeles,Home & Garden,3,ACH Transfer,Mobile,12,8,FALSE,5,5,18.68,0,56.04
ORD_000005-2,CUST_00005,6/12/2023,32,Male,Los Angeles,Toys,4,Credit Card,Mobile,13,12,TRUE,7,2,2.56,0,10.23
ORD_000005-3,CUST_00005,6/21/2023,32,Male,Los Angeles,Fashion,1,Credit Card,Desktop,13,8,TRUE,5,4,18.53,0,18.53
ORD_000006-1,CUST_00006,7/24/2023,32,Female,New York,Beauty,5,Debit Card,Desktop,17,9,TRUE,10,4,4.87,0,24.34
ORD_000006-2,CUST_00006,8/7/2023,32,Female,New York,Beauty,1,Credit Card,Mobile,14,9,TRUE,6,4,5.06,0.45,4.62
ORD_000006-3,CUST_00006,8/27/2023,32,Female,New York,Food,3,Digital Wallet,Mobile,17,10,TRUE,7,5,4.88,0,14.65
ORD_000007-1,CUST_00007,1/5/2024,53,Female,Los Angeles,Fashion,5,Buy Now Pay Later,Mobile,17,9,TRUE,7,4,10.32,5,46.6
ORD_000008-1,CUST_00008,9/14/2023,44,Female,San Diego,Sports,1,Credit Card,Desktop,14,11,FALSE,4,5,31.99,6.66,25.33
ORD_000008-2,CUST_00008,10/7/2023,44,Female,San Diego,Sports,4,Debit Card,Mobile,19,9,TRUE,5,5,41.93,0,167.7
ORD_000008-3,CUST_00008,10/9/2023,44,Female,San Diego,Toys,1,Debit Card,Desktop,18,7,TRUE,9,4,3.05,0,3.05
ORD_000009-1,CUST_00009,2/16/2024,29,Male,Los Angeles,Fashion,2,Debit Card,Desktop,11,11,FALSE,2,3,8.24,0,16.48
ORD_000010-1,CUST_00010,8/15/2023,41,Male,Dallas,Fashion,1,Credit Card,Mobile,14,11,TRUE,2,2,15.55,0,15.55
ORD_000010-2,CUST_00010,12/17/2023,41,Male,Dallas,Books,5,Debit Card,Mobile,14,8,TRUE,10,5,3.82,0,19.12
ORD_000010-3,CUST_00010,3/4/2024,41,Male,Dallas,Beauty,4,Credit Card,Desktop,15,8,TRUE,2,5,3.77,0,15.08
ORD_000011-1,CUST_00011,4/8/2023,29,Male,Dallas,Beauty,4,Credit Card,Mobile,8,8,TRUE,5,5,7.44,0,29.74
ORD_000011-2,CUST_00011,5/23/2023,29,Male,Dallas,Fashion,3,Credit Card,Mobile,12,14,TRUE,7,5,5.66,0,16.97
ORD_000011-3,CUST_00011,11/5/2023,29,Male,Dallas,Electronics,5,Digital Wallet,Mobile,12,4,TRUE,14,5,17.72,0,88.59
ORD_000011-4,CUST_00011,12/11/2023,29,Male,Dallas,Beauty,4,ACH Transfer,Desktop,18,8,TRUE,2,4,5.14,2.44,18.11
ORD_000011-5,CUST_00011,12/14/2023,29,Male,Dallas,Sports,3,Credit Card,Desktop,14,10,TRUE,4,4,23.33,7.3,62.69
ORD_000011-6,CUST_00011,1/13/2024,29,Male,Dallas,Books,2,Debit Card,Mobile,15,8,TRUE,5,4,0.72,0,1.44
ORD_000011-7,CUST_00011,3/14/2024,29,Male,Dallas,Toys,5,Credit Card,Mobile,12,13,TRUE,2,5,0.79,0,3.95
ORD_000012-1,CUST_00012,2/2/2024,29,Other,New York,Toys,3,Debit Card,Desktop,8,7,FALSE,9,4,9.27,0,27.8
ORD_000013-1,CUST_00013,2/9/2023,37,Female,New York,Home & Garden,1,Digital Wallet,Mobile,12,7,TRUE,13,5,27.98,6.02,21.96
ORD_000013-2,CUST_00013,2/25/2024,37,Female,New York,Food,1,Digital Wallet,Mobile,13,6,TRUE,5,5,1.42,0,1.42
ORD_000014-1,CUST_00014,1/22/2023,18,Female,San Diego,Food,1,Debit Card,Desktop,13,6,TRUE,5,3,2.62,0,2.62
ORD_000014-2,CUST_00014,9/28/2023,18,Female,San Diego,Beauty,5,Credit Card,Desktop,17,5,TRUE,9,2,3.19,0,15.95
